studentId,courseName,examTime,location,seatNumber,examType,status
202101001,数据结构,2025-01-10 09:00-11:00,教A201,B10,闭卷考试,未考试
202101001,操作系统,2025-01-11 14:00-16:00,教B305,A26,闭卷考试,未考试
202101001,计算机网络,2025-01-12 09:00-11:00,教A301,A28,闭卷考试,未考试
202101001,算法设计与分析,2025-01-13 14:00-16:00,机房C303,A28,考查,未考试
202101001,人工智能导论,2025-01-14 09:00-11:00,教B201,B30,论文,未考试
202101002,数据结构,2025-01-10 09:00-11:00,教A201,A13,闭卷考试,未考试
202101002,操作系统,2025-01-11 14:00-16:00,教B305,A11,闭卷考试,未考试
202101002,计算机网络,2025-01-12 09:00-11:00,教A301,B30,闭卷考试,未考试
202101002,算法设计与分析,2025-01-13 14:00-16:00,机房C303,C10,考查,未考试
202101002,人工智能导论,2025-01-14 09:00-11:00,教B201,C29,论文,未考试
202102001,数据结构,2025-01-10 09:00-11:00,教A201,C29,闭卷考试,未考试
202102001,操作系统,2025-01-11 14:00-16:00,教B305,B21,闭卷考试,未考试
202102001,计算机网络,2025-01-12 09:00-11:00,教A301,C20,闭卷考试,未考试
202102001,算法设计与分析,2025-01-13 14:00-16:00,机房C303,A28,考查,未考试
202102001,人工智能导论,2025-01-14 09:00-11:00,教B201,A26,论文,未考试
