studentId,semester,courseCode,courseName,score,credit,gradePoint,examType,courseType
202101001,2025-1,CS201,数据结构,73,4,2.3,闭卷考试,64
202101001,2025-1,CS202,操作系统,88,4,3.8,闭卷考试,64
202101001,2025-1,CS203,计算机网络,88,3,3.8,闭卷考试,48
202101001,2025-1,CS204,算法设计与分析,85,3,3.5,考查,48
202101001,2025-1,CS205,人工智能导论,71,2,2.1,论文,32
202101002,2025-1,CS201,数据结构,97,4,4.7,闭卷考试,64
202101002,2025-1,CS202,操作系统,85,4,3.5,闭卷考试,64
202101002,2025-1,CS203,计算机网络,83,3,3.3,闭卷考试,48
202101002,2025-1,CS204,算法设计与分析,86,3,3.6,考查,48
202101002,2025-1,CS205,人工智能导论,93,2,4.3,论文,32
202102001,2025-1,CS201,数据结构,92,4,4.2,闭卷考试,64
202102001,2025-1,CS202,操作系统,87,4,3.7,闭卷考试,64
202102001,2025-1,CS203,计算机网络,73,3,2.3,闭卷考试,48
202102001,2025-1,CS204,算法设计与分析,84,3,3.4,考查,48
202102001,2025-1,CS205,人工智能导论,82,2,3.2,论文,32
