studentId,semester,courseCode,courseName,teachingUnit,credit,totalHours,courseType,courseAttribute,examType,isExam
202101001,2025-1,CS201,数据结构,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
202101001,2025-1,CS202,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
202101001,2025-1,CS203,计算机网络,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
202101001,2025-1,CS204,算法设计与分析,信息工程学院,3,48,选修课,专业选修课,考查,否
202101001,2025-1,CS205,人工智能导论,信息工程学院,2,32,选修课,专业选修课,论文,否
202101002,2025-1,CS201,数据结构,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
202101002,2025-1,CS202,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
202101002,2025-1,CS203,计算机网络,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
202101002,2025-1,CS204,算法设计与分析,信息工程学院,3,48,选修课,专业选修课,考查,否
202101002,2025-1,CS205,人工智能导论,信息工程学院,2,32,选修课,专业选修课,论文,否
202102001,2025-1,CS201,数据结构,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
202102001,2025-1,CS202,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
202102001,2025-1,CS203,计算机网络,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
202102001,2025-1,CS204,算法设计与分析,信息工程学院,3,48,选修课,专业选修课,考查,否
202102001,2025-1,CS205,人工智能导论,信息工程学院,2,32,选修课,专业选修课,论文,否
