loudong_id,loudong_name,xiaoqu_id,xiaoqu_name
4320,15-1栋,nnxq,南宁校区
4523,15-2栋,nnxq,南宁校区
4722,13-1栋,nnxq,南宁校区
5158,13-2栋,nnxq,南宁校区
5623,17栋,nnxq,南宁校区
6068,18栋,nnxq,南宁校区
6267,19栋,nnxq,南宁校区
6454,20栋,nnxq,南宁校区
6899,21栋,nnxq,南宁校区
B1,1号楼,nnxq,南宁校区
B2,2号楼,nnxq,南宁校区
B3,3号楼,nnxq,南宁校区
B4,4号楼,nnxq,南宁校区
4320,桂林校区9栋,glxq,桂林校区
4509,桂林校区7栋,glxq,桂林校区
4722,桂林校区12栋,glxq,桂林校区
4812,桂林校区13栋,glxq,桂林校区
6436,桂林校区14A栋,glxq,桂林校区
6819,桂林校区14B栋,glxq,桂林校区
B101,桂林校区10A号楼,glxq,桂林校区
B102,桂林校区10B号楼,glxq,桂林校区
B8,桂林校区8号楼,glxq,桂林校区
